"source_item","fishkelp_relative_path","source_md5","fishkelp_git_commit","packaged_on"
"coded_records","projects/kelp-dependence/data/rfbf_v7/coded_responses_for_model_v7.csv","cb0a70aa422fa22a41b065f06e1273be","8c46ebb0f3d31857e468376778833e933f6e4f5d","2026-08-19"
"analysis_records","projects/kelp-dependence/data/rfbf_v7/analysis_dataset_v7.csv","f77743523db7f876b891dd04752e9bfb","8c46ebb0f3d31857e468376778833e933f6e4f5d","2026-08-19"
"species_frame","projects/kelp-dependence/data/rfbf_v7/species_frame_v7.csv","2a3ecde9b527bfe5d30d1302085bf456","8c46ebb0f3d31857e468376778833e933f6e4f5d","2026-08-19"
"species_traits","projects/kelp-dependence/metadata/species_traits_v7.csv","8e9fa33a41ce548327b2000f7cf7519a","8c46ebb0f3d31857e468376778833e933f6e4f5d","2026-08-19"
"posterior_estimates","projects/kelp-dependence/data/model_v7/tdr_hdr_estimates_v7.csv","25fd5e3e60178d89c391875abddf28e9","8c46ebb0f3d31857e468376778833e933f6e4f5d","2026-08-19"
"model_data","projects/kelp-dependence/data/model_v7/tdr_model_data_v7.rds","e17c402fafb50f56feac4223555421b0","8c46ebb0f3d31857e468376778833e933f6e4f5d","2026-08-19"
"convergence","projects/kelp-dependence/data/model_v7/tdr_convergence_v7.csv","44a7ab299afacf6e2aeb48c4186dc1e6","8c46ebb0f3d31857e468376778833e933f6e4f5d","2026-08-19"
"sampler","projects/kelp-dependence/code/model_v7/tdr_sampler_v7.R","77579375dac46cf98aa70d5a1b46daec","8c46ebb0f3d31857e468376778833e933f6e4f5d","2026-08-19"
